user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,semantic_similarity,question_id
 comment conserver humalog mix 25 100ui kwikpen ,"[""## Préparation d'Humalog Mix25 KwikPen"", '## 5. COMMENT CONSERVER HUMALOG MIX25 KWIKPEN\n\nAvant  la  première  utilisation,  conserver  votre  Humalog  Mix25  KwikPen  au  réfrigérateur  (entre  2°C  et 8°C). Ne pas congeler.', ""## Dans cette notice :\n\n- 1. Qu'est-ce qu'Humalog Mix25 KwikPen et dans quel cas est-il utilisé\n- 2. Quelles sont les informations à connaître avant d'utiliser Humalog Mix25 KwikPen\n- 3. Comment utiliser Humalog Mix25 KwikPen\n- 4. Quels sont les effets indésirables éventuels\n- 5. Comment conserver Humalog Mix25 KwikPen\n- 6. Informations supplémentaires\n\n## 1. QU'EST-CE QU'HUMALOG MIX25 KWIKPEN ET DANS QUEL CAS EST-IL UTILISE"", ""## Injection d'Humalog Mix25 KwikPen"", ""Ne pas utiliser Humalog Mix25 KwikPen après la date de péremption mentionnée sur l'étiquette et la boîte. La date d'expiration fait référence au dernier jour du mois.\n\nNe pas utiliser Humalog Mix25 KwikPen, si la suspension présente des grumeaux ou si des particules blanches restent collées au fond de la cartouche ou sur les parois, lui donnant un aspect givré. Vérifiez l'apparence avant chaque injection."", ""Conserver votre Humalog Mix25 KwikPen en cours d'utilisation à température ambiante (entre 15°C et 30°C) et jeter-le après 28 jours. Ne pas exposer à une chaleur excessive ou au soleil. Ne laissez pas votre stylo KwikPen en cours d'utilisation au réfrigérateur. Le stylo KwikPen ne doit pas être conservé avec l'aiguille vissée dessus.\n\nTenir hors de la portée et de la vue des enfants.""]",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,"Avant la première utilisation, Humalog Mix25 KwikPen doit être conservé au réfrigérateur entre 2°C et 8°C. Une fois en cours d'utilisation, il doit être conservé à température ambiante entre 15°C et 30°C et doit être jeté après 28 jours. Il ne doit pas être exposé à une chaleur excessive ou au soleil et ne doit pas être laissé au réfrigérateur .Le stylo KwikPen ne doit pas être conservé avec l’aiguille vissée dessus.",0.0,0.0,0.9999999999833333,0.25,0.05805729113184227,0.23222916452736908,Q1
Orapen 1500 000ui comp peut-il être utilisé en association avec un antihypertenseur?,"['Informez par ailleurs votre médecin si vous prenez un antihypertenseur ou un médicament atropinique , un sédatif (tranquillisants, somnifères, certains médicaments contre la toux ou contre la douleur contenant des opiacés, antidépresseurs, neuroleptiques...), un antidiabétique ou certains pansements gastriques.\n\n## Fertilité, grossesse et allaitement\n\n## Grossesse :', ""2.CLASSE THERAPEUTIQUE: 'Antihypertenseur: antagoniste des  récepteurs  l'angiotensine 1. de\n\n## SexeRoiseesticnee  ar\n\nN'a pas de  cause  connue)\n\n## Reserve à l'aguite\n\nPosologie\n\nHypertension  artérielle:\n\n(CO-BEKERDIS). en  évidence  en  cas  d'association de  ces  deux  médicaments. Réduction  dos  événements  cardiovasculares :\n\npr nt 24 heures. Ge Zong  ge  ose pus impor  de  80mg, où d :BEKERDIS*peut égalemer   être  associé  à  des  diuréiques  comme  thydrochlorothiazide l nt"", ""La prise de ce médicament doit être évitée en association avec certains médicaments utilisés dans le traitement de la tension artérielle élevée (antihypertenseurs tels que doxazosine, prazosine et urapidil) (Voir rubrique ''Autres médicaments et XATRAL LP 5 mg comprimé à libération prolongée'')."", ""-Horrrus les cas d'urgence,interrompre l'administration de la lévodopa au mmrnum 5 à 6 heurs avant une Intervention chirurgicale,le traitement sera ensuite repris à la dose adoptée antérieurement. Associations à prendre en compte\n\n-Antihypertenseurs: hypertension symptomatique posturale."", ""Ce médicament DOIT ÊTRE ÉVITÉ EN ASSOCIATION AVEC certains médicaments utilisés dans le traitement de la tension artérielle élevée (antihypertenseurs tels que doxazosine, prazosine et urapidil) (voir rubrique « Avertissements et précautions »).\n\n.\n\n## XATRAL LP 5 mg, comprimé pelliculé à libération prolongée avec des aliments et boissons\n\nSans objet.\n\n## Grossesse, allaitement et fertilité\n\nCe médicament n'est pas destiné à la femme.\n\n## Sportifs\n\nSans objet."", ""Colorant jaune orangé S: 0.06 mg/cp\n\n## CLASSETH~RAPEUTIQUE\n\nAntihypertenseur:\n\ndiurétique thiazidique associé\n\n## INDICATIONS\n\n- · Œdèmes cardiaques.\n- , Hypertension artérielle.\n- · Ascite et œdèmes des cirrhotiques.\n\n## POSOLOGIE ET MODE D'ADMINISTRATION\n\nRéservé à l'adulte, voie orale\n\nŒdème cardiaque: le traitement doit être débuté à la posologie de 1 ou 2comprimés par jour. Cette posologie peut être augmentée mais ne doit pas dépasser 4 comprimés par jour.""]",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,Aucune information concernant les antihypertenseurs n'est mentionnée dans la notice.,0.5,0.0,0.94999999997625,1.0,0.10831241490136398,0.4332496596054559,Q2
Quels sont les signes d une réaction allergique grave à Calcidose 500mg sachet dose ?,"['- =  Réactions allergiques (par exemple difficultés respiratoire, sifllements respiratoires, edéme  de la peau) et choc (etaillance  circulatoire brutale}\n\n## SIGNALER A VOTRE MEDECIN OU A VOTRE PHARMACIEN TOUT EFFET NON SOUHAITE GENANT  QUI  NE  SERAIT  PAS  MENTIONNE  DANS  CETTE  NOTICE.\n\n## 12. SURDOSAGE', ""Ce médicament peut induire des réactions allergiques, bien que des réactions allergiques graves soient rarement rapportées. Informez immédiatement votre médecin si vous présentez soudainement un essoufflement, des problèmes respiratoires, un gonflement des paupières, du visage ou des lèvres, une éruption ou des démangeaisons, surtout si c'est sur tout le corps."", ""Très rarement: réactions allergiques sévères telles que gonflement du visage, des lèvres, de la langue, et/ou de la gorge entraînant des difficultés pour avaler.\n\nAppelez votre médecin si vous constatez l'un ou l'autre de ces effets indésirables.\n\nSi vous remarquez des effets indésirables non mentionnés dans cette notice veuillez en informer votre médecin ou votre pharmacien\n\n## Comment conserver Calcium Sandoz 500 mg, comprimé effervescent?"", ""Une réaction allergique grave à Actrapid ou à l'un de ses com posants (appelée réaction allergique systém ique) est un effet i n dési rabl e très rare m ai s qui  peut potenti el l em ent m enacer l a vi e. Cel a peut surveni r chez m oi ns de 1 personne sur 10 000.\n\nConsultez im m édiatem ent un m édecin :"", ""## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?\n\nComme tous les médicaments, ce médicament peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde.\n\n## Réactions allergiques sévères\n\nSi vous avez une réaction allergique sévère, arrêtez d'utiliser MERONEM et consultez immédiatement un médecin. Un traitement médical en urgence peut être nécessaire. Les signes peuvent inclure l'apparition soudaine de :"", '## La substance active est:\n\nOxcarbazépine ................................................................................................................................. 150 mg\n\nPour un comprimé pelliculé.\n\n## Les autres composants sont:']",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,Aucun signe de réaction allergique grave n'est mentionné dans la notice,0.5,0.0,0.9999999999666667,0.0,0.4533891039281398,0.3135564157125592,Q3
Quels sont les principes actifs contenus dans Calcidose 500mg sachet dose?,"[""Qu'est  ce  que  Kardegic  160  mg,  poudre  pour  solution  buvable  en  sachet-dose  et  contenu  de  l'emballage extérieur ?\n\nCe médicament se présente sous forme de poudre pour solution buvable en sachet-dose (Boîte de 30).\n\n## Titulaire et exploitant\n\nsanofi-aventis France 1-13, boulevard Romain Rolland 75014 Paris - France Information Patient : N° vert 0800 222 555 Appel depuis l'étranger : +33 1 57 63 23 23\n\n## Fabricant"", ""(en espaçant chaque prise d'environ 12 heures), ou de 8 mg/kg une seule fois par jour, sans dépasser la dose totale maximum de 300 mg par jour.\n\nUtilisez la seringue doseuse graduée pour usage oral contenue dans la boîte, afin de mesurer avec précision la dose prescrite :"", ""Si vous remarquez des effets indésirables non mentionnés dans cette notice, veuillez en informer votre médecin ou votre pharmacien.\n\n## COMMENT CONSERVER AUGMENTIN 500 mg/62,SO mg ENFANTS, poudre pour suspension buvable en sachet-dose\n\n## (rapport amoxicilli e/a -i ue' 8 --c \\_ c~\n\nPasde précautions particulières de conservation.\n\nTenir hors de la portée et de la vue des enfants.\n\nNe pas utiliser après la date de péremption figurant sur la boîte, le sachet-dose."", ""Si vous avez pris plus de Kardegic 160 mg, poudre pour solution buvable en sachet-dose que vous n'auriez dû Consulter rapidement un médecin en cas de surdosage accidentel (en particulier s'il s'agit d'un enfant).\n\nSi vous oubliez de prendre Kardegic 160 mg, poudre pour solution buvable en sachet-dose Continuez votre traitement mais prévenez votre médecin.\n\n## 4. QUELS SONT LES EFFETS INDÉSIRABLES ÉVENTUELS ?"", ""Liste des excipients dont la connais~nct est neces~irt' pour unt ulili~tion ~111 risque chez certains patients\n\nSaccharose, 4R rouge cochenille, E211 benzoate de sodium.\n\n## COMMENT UTILISER CE MEDICAMENT\n\n## ~\n\npr\n\nOROKEN\n\ng/5\n\nml est\n\npréronsée chez\n\nl'enfant de\n\n6d30\n\nmois, e prises; La présentat ~ litre indica 6 mois est de 4 mg/kg et par prise\n\nDAN OUS lES [A5 SE CONFORMER STRICTEMENr A l'ORDONNANCE DE VOTRE MEDE(W\n\n## Mode et voie d'administration\n\nVoeOlae."", ""## Grossesse et allaitement:\n\nSi vous êtes enceinte ou si vous allaitez, prenez l'avis de votre médecin ou de votre pharmacien avant de prendre Calcium Sandoz 500 mg, comprimé effervescent. Les besoins en calcium de la femme sont plus élevés lors de la grossesse et de l'allaitement.\n\nLors de la grossesse, la prise quotidienne ne doit pas excéder 1500 mg de calcium, c'est pourquoi il ne faut pas dépasser la dose quotidienne recommandée.""]",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,la substance active contenue dans ce medicament est Carbonate de calcium,0.0,0.0,0.0,1.0,0.059164795074733864,0.23665918029893546,Q4
Quels sont les effets négatifs de Calcidose 500mg sachet dose?,"[""Si vous remarquez des effets indésirables non mentionnés dans cette notice, veuillez en informer votre médecin ou votre pharmacien.\n\n## COMMENT CONSERVER AUGMENTIN 500 mg/62,SO mg ENFANTS, poudre pour suspension buvable en sachet-dose\n\n## (rapport amoxicilli e/a -i ue' 8 --c \\_ c~\n\nPasde précautions particulières de conservation.\n\nTenir hors de la portée et de la vue des enfants.\n\nNe pas utiliser après la date de péremption figurant sur la boîte, le sachet-dose."", ""Si vous avez pris plus de Kardegic 160 mg, poudre pour solution buvable en sachet-dose que vous n'auriez dû Consulter rapidement un médecin en cas de surdosage accidentel (en particulier s'il s'agit d'un enfant).\n\nSi vous oubliez de prendre Kardegic 160 mg, poudre pour solution buvable en sachet-dose Continuez votre traitement mais prévenez votre médecin.\n\n## 4. QUELS SONT LES EFFETS INDÉSIRABLES ÉVENTUELS ?"", 'Si  vous  remarquez  des  effets  indésirables  non  mentionnés  dans  cette  notice,  ou  si  certains  effets  indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n## 5. COMMENT CONSERVER KARDEGIC 160 mg, poudre pour solution buvable en sachet-dose ?\n\nTenir hors de la portée et de la vue des enfants.', ""Comme tous les médicaments, Kardegic 160 mg, poudre pour solution buvable en sachet-dose est susceptible d'avoir des effets indésirables, bien que tout le monde n'y soit pas sujet :"", ""Dans l'otite moyenne, la dose peut être augmentée jusqu'à un maximum de 500 mg par jour en plusieurs doses.\n\n## Surdosage:\n\nLa concentration sérique de céfuroxime peut être réduite par hémodialyse ou dialyse péritonéale.\n\n## Effets indésirables:\n\nLes effets indésirables généraux les plus fréquents sont:"", ""Liste des excipients dont la connais~nct est neces~irt' pour unt ulili~tion ~111 risque chez certains patients\n\nSaccharose, 4R rouge cochenille, E211 benzoate de sodium.\n\n## COMMENT UTILISER CE MEDICAMENT\n\n## ~\n\npr\n\nOROKEN\n\ng/5\n\nml est\n\npréronsée chez\n\nl'enfant de\n\n6d30\n\nmois, e prises; La présentat ~ litre indica 6 mois est de 4 mg/kg et par prise\n\nDAN OUS lES [A5 SE CONFORMER STRICTEMENr A l'ORDONNANCE DE VOTRE MEDE(W\n\n## Mode et voie d'administration\n\nVoeOlae.""]",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,"Les effets négatifs de Calcidose 500 peuvent inclure une bouche sèche et  en cas de traitement prolongé, un risque d'augmentation du taux de calcium dans le sang et les urines. SIGNALER À VOTRE MÉDECIN OU À VOTRE PHARMACIEN TOUT EFFET NON SOUHAITÉ ET GËNANT QUI NE SERAIT PAS MENTIONNÉ DANS CETTE NOTICE",0.0,0.0,0.26666666665333333,0.5,0.07346393748701036,0.2938557499480414,Q5
Quelle est la posologie recommandée de AMODEX-Gé 250MG 5ML pdre pour un enfant de 10 ans?,"[""## 5POSOLOGIE ET MODE D'ADMINISTRATION\n\n## Posologie\n\nLa posologienitiale est deparjour , elle peut êtreentéeà 10mg si nécessaire .\n\n## Mode et voie d'administration :\n\nAMLODIPINE BEKER ® est un médicamentdestiné à l'adulte i 5mg augm Ce médicament est prendre en une seule prise par jour. à"", ""Pour les enfants ayant un poids ou un âge différent, il existe d'autres présentations d'aspirine: demandez conseil à votre mëdedn ou à votre pharmacien.\n\n## 2 QUElLES SONT LES INFORMATIONS A CONNAITRE AVANT DE PRENDRE A,pegl( 250 mg\n\n~ votre médecin vous a informé(e) d'une intolérance à certains sucres,contartez-lesvant de prendre ce médicament. 1.,\n\n## Ne prenez jamais ASPEGtC250 mg da ns ca, ,uivants\n\n:"", ""Prévenez également votre médecin ou votre pharmacien si vous avez une faiblesse musculaire constante. Des examens complémentaires et un traitement peuvent être nécessaires pour la diagnostiquer et la traiter.\n\n## Enfants et adolescents\n\nINEGY n'est pas recommandé chez les enfants de moins de 10 ans.\n\n## Autres médicaments et INEGY 10 mg/40 mg, comprimé"", ""Tenir hors de la portée et de la vue des enfants.\n\nNe pas utiliser DUPHALAC 10g/15 ml, solution buvable en sachet apres la date de péremption mentionnée sur la boite.\n\nCemédicamentdoit êtreconservé à unetempératureinférieure à 25'C. Ne pas mettre au réfrigérateur.\n\nLes médicaments ne doivent pas être jetés au tout à l'égout ou avec les ordures ménagères. Demandez à votre pharmacien ce qu'il faut faire des médicaments inutilisés. Cesmesurespermettront de protéger l'environnement."", ""## Forme pharmaceutique et contenu\n\n## Qu'est ce que NEORAL 100 mg/ml, solution buvable et contenu de l'emballage extérieur ?\n\nNEORAL se présente sous forme de solution buvable. C'est un liquide limpide, jaune pâle à jaune brunâtre.\n\nIl se présente en flacon en verre de 10, 20 ou 50 ml, avec deux seringues pour mesurer la dose."", 'Si vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien, il se peut que vous ayez besoin de diminuer votre dose.\n\n## 5. COMMENT CONSERVER NORDITROPINE NORDIFLEX 15 mg/1,5 ml, solution injectable en stylo prérempli ?\n\nTenir hors de la portée et de la vue des enfants.\n\n## Date de péremption']",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,la dose recommende pour un enfant de 10 ans est de 25 mg/kg à 150 mg/kg par 24 heures,0.5,0.0,0.0,0.0,0.053156520256559134,0.21262608102623654,Q6
Est-il possible d utiliser AMODEX-Gé 250MG 5ML pdre  pendant la grossesse?,"[""D'une fagon générale, il  convient, au cours de la grossesse ou de Pallaitement de toujours demander l'avis de votre médecin ou de votre pharmacien  avant  d'utiliser un  médicament.\n\n<!-- image -->\n\n## COMMENT PRENDRE CE MÉDICAMENT\n\nMode  et  vole  d'administration\n\nLa dose initiale  recommandée est de 1600 mg/jour (4x400 mg) soit 2 élules matin et soir."", ""Ne jetez aucun médicament au tout-à-l'égout ou avec les ordures ménagères. Demandez à votre pharmacien d'éliminer les médicaments que vous n'utilisez plus. Ces mesures contribueront à protéger l'environnement.\n\n## 6. CONTENU DE L'EMBALLAGE ET AUTRES INFORMATIONS\n\n## Ce que contient ELUDRIL 0.5 ml/0.5g pour 100 ml, solution pour bain de bouche\n\n- · Les substances actives sont :"", ""## Dénomination du médicament\n\n<!-- image -->\n\n## METHERGIN 0,25 mg/ml, solution buvable\n\nMaléate de méthylergométrine\n\n## Encadré\n\n## Veuillez lire attentivement l'intégralité de cette notice avant d'utiliser ce médicament.\n\n- · Gardez cette notice, vous pourriez avoir besoin de la relire.\n- · Si vous avez d'autres questions, si vous avez un doute, demandez plus d'informations à votre médecin ou votre pharmacien."", 'Comme tous les médicaments, CERUBIDINE 20 mg, poudre pour solution pour perfusion peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde.', ""Si vous arrêtez d'utiliser ELUDRIL 0.5 ml/0.5 g pour 100 ml, solution pour bain de bouche Sans objet.\n\nSi vous avez d'autres questions sur l'utilisation de ce médicament, demandez plus d'informations à votre médecin ou à votre pharmacien.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?\n\nComme tous les médicaments, ce médicament peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde."", ""## Dénomination du médicament\n\n<!-- image -->\n\n## GLUCANTIME 1,5 g/5 ml, solution injectable Antimoniate de méglumine\n\n## Encadré\n\n## Veuillez lire attentivement cette notice avant d'utiliser ce médicament. Elle contient des informations importantes pour votre traitement.\n\nSi vous avez d'autres questions, si vous avez un doute, demandez plus d'informations à votre médecin ou à votre pharmacien.""]","Ceci signifie que l'on doit toujours demander l'avis d'un professionnel de santé avant d'utiliser ce médicament, y compris pendant la grossesse.","Amodex Gé peut être utilisé pendant la grossesse Amodex Gé peut être utilisé pendant la grossesse en cas de besoin. D'UNE FAÇON GÉNÉRALE, IL CONVIENT AU COURS DE LA grossesse de toujours demander l avis de votre medecin ou de votre pharmacien",0.5,0.4803025489627652,0.699999999965,1.0,0.5691945849138229,0.5624926253695774,Q7
Est-ce que AMODEX-Gé 250MG 5ML pdre  peut causer la diarrhée pour un adulte ?,"[""E CAS DE DOUTE, IL EST INDISPENSABLE DE DEMANDER L'AVIS DE VOTRE MEDECIN OU DE VOTRE PHARMACIEN.\n\n## Faites attention avec ZECLAR 50 mg/ml, granulés pour suspension buvable:\n\n## Mises en garde sPéciales\n\nCe médicament ne doit pas être associé à des médicaments qui peuvent être toxiques pour l'oreille.\n\nlnformer votre médecin de colites ou de diarrhées pouvant survenir au cours du traitement."", '| a) Si vous avez des troubles digestifs de type vomissements, diarrhées sévères.......................................... 33                                                                                                                                                                                                                                                                                                     |', ""Ce  médicament  est indiqué dans  le traitement  de  la diarrhée aigue d'origine infectueuse  chez l'adulte  et  l'enfant  de plus  de 6 ans. le traitement  ne dispense pas de mesures diététiques et d'une réhydratation  si elle est nécessaire.\n\n## ATTENTION  !\n\n## DANS  QUEL  CAS  NE  PAS  UTILISER  CE  MEDICAMENT\n\nCe  médicament  ne  doit pas  être utilisé en  cas  d'antécédent  de réaction allergique aux  dérivés  du  nitrofurane."", ""## Si vous avez pris plus de ALDACTONE 75 mg, comprimé sécable que vous n'auriez dû :\n\nEn cas d'absorption massive, prévenir immédiatement votre médecin, votre pharmacien ou le centre antipoison le plus proche.\n\nCe surdosage peut entraîner les malaises suivants: somnolence, nausées, vomissements, diarrhée\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS?"", ""Nom et adresse du fabricant :\nLaboratoires CONTINENTAL PHARM\n2 Lot 21/29 En-Nedjma Oran - Algérie-\n## Dans quels cas utiliser ce médicament ?\nAmodex Gé est indique dans le traitement des infections\nbactériennes à germes sensibles. Ce médicament est indiqué\négalement chez l'adulte dans le traitement de certains ulcères de\nl'estomac ou du duodénum\nAttention !\n## Dans quels cas ne pas utiliser ce médicament ?\nCe medicament NE DOIT PAS ETRE UTILISE dans les cas suivants"", ""Une diarrhée peut apparaître lors d'une prise prolongée et à fortes doses, et également rarement aux doses.\n\nrecommandées. Si cet effet indésirable persiste, interrompre la prise de MEFESTAN.""]","Ceci signifie que ZECLAR est utilisé pour traiter la diarrhée aigue d'origine infectueuse chez les adultes et les enfants de plus de 6 ans. Cependant, une diarrhée peut survenir en cas de prise prolongée et à fortes doses, ou même aux doses recommandées, bien que cela soit rare. Si cette diarrhée persiste, il est conseillé d'interrompre le traitement.","Oui, il peut causer des troubles digestifs comme la diarrhée ",0.25,0.3574662225752247,0.608333333318125,1.0,0.35172993204733305,0.5497768710464749,Q8
 qu'est ce que TOBREX 300000ui colly en solution et dans quels cas est il utiliser?,"[""pendant\n\n3 minutes,\n\n- · d'exercer une pression sur la partie haute latérale du nez. Si vous avez l'impression que l'effet de TOBREX 0,3%, collyre en solution est trop fort ou trop faible, consultez votre médecin ou votre pharmacien. Voie ophtalmique.\n\n- • de fermer\n\n<!-- image -->\n\nComme pour tous les collyres, effectuez, dans l'ordre les opérations suivantes:"", ""Durée du traitement: 5 à 15 jours.\n\nSi vous avez utilisé plus de TOBREX 0,3%, collyre en solution que vous n'auriez dû : consultez immédiatemen votre médecin ou votre pharmacien. Si vous oubliez de prendre TOBREX 0,3%, collyre en solution: ne prenez pas de dose double pour compenser la dose e que vous avez oubliée de prendre.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS?\n\nComme tous les médicaments, TOBREX 0,3%, collyre en solution es suscep e d'entraîner des effets indés bles:"", ""ALCON\n\ncusi,\n\n.A.\n\nE-08320 EL MASNOU-BARCELONE\n\n## 1. QU'EST-CE QUE TOBREX 0,3%, collyre en solution ET DANS QUELS CAS EST-IL UTILISE?\n\nCollyre en solution.\n\nPrésenté sous forme de 5 ml en flacon: boite de 1.\n\nCe médicament contient un antibiotique de la famille des aminosides: la tobramycine."", '## 3. COMMENT UTILISER TOBREX 0,3%, collyre en solution?\n\nA titre indicatif, la posologie usuelle est:\n\n0,3 g\n\n-\n\n-\n\n<!-- image -->\n\ndes signes cliniques, puis diminuée progressivement, par votre médecin. du collyre, afin de favoriser son action locale, il est conseillé:\n\nla\n\n- Après instillation ou paupière\n\npendant\n\n3 minutes,', ""Ce médicament se présente sous forme de d'une solution buvable. Flacon de 150 ou 200 ml avec un bouchon de sécurité-enfant.\n\nNom et adresse du titulaire de l'autorisation de mise sur le marché et du titulaire de l'autorisation de fabrication responsable de la libération des lots, si différent\n\n## Titulaire\n\n## DEFIANTE FARMACEUTICA SA\n\nRua dos Ferreiros, 260 9000-082 FUNCHAL PORTUGAL\n\n## Exploitant\n\n## SIGMA TAU France"", ""## 2. QUELLES SONT LES INFORMATIONS A CONNAITRE AVANT D'UTILISER INNOHEP 4 500 UI anti-Xa/0,45 ml, solution injectable en seringue préremplie ?\n\n## N'utilisez jamais INNOHEP 4 500 UI anti-Xa/0,45 ml, solution injectable en seringue préremplie :""]","Ceci signifie que TOBREX 0,3%, collyre en solution est un médicament contenant un antibiotique appelé tobramycine et il est utilisé pour traiter les infections oculaires d'origine bactérienne."," TOBREX 0,3 est un collyre en solution est indiqué pour le traitement local de certaines infections de l'œil dues à des bactéries sensibles, telles que les conjonctivites, les kératites et les ulcères de la cornée.",0.6666666666666666,0.41199092023760525,0.99999999998,1.0,0.6198371408869275,0.7650628492619957,Q9
quels sont les effets indésirables possible de forlax 4g sach pdre solution buv pour un enfant ?,"[""En signalant les effets indésirables, vous contribuez à fournir davantage d'informations sur la sécurité du médicament.\n\n## 5. COMMENT CONSERVER CERULYSE 5 g/100 g, solution pour instillation auriculaire ?\n\nTenir ce médicament hors de la vue et de la portée des enfants.\n\nN'utilisez pas ce médicament après la date de péremption indiquée sur le conditionnement extérieur après EXP. La date de péremption fait référence au dernier jour de ce mois."", ""En signalant les effets indésirables, vous contribuez à fournir davantage d'informations sur la sécurité du médicament.\n\n## 5. COMMENT CONSERVER INNOHEP 4 500 UI anti-Xa/0,45 ml, solution injectable en seringue préremplie ?\n\nTenir ce médicament hors de la vue et de la portée des enfants.\n\nN'utilisez pas ce médicament après la date de péremption indiquée sur le conditionnement extérieur après EXP. La date de péremption fait référence au dernier jour de ce mois."", ""GARDENAL 40 mg/2 ml, poudre et solvant pour solution injectable ne doit pas être utilisé pendant la grossesse sauf en l'absence d'alternative moins à risque pour l'enfant à naître. Si vous envisagez une grossesse ou en cas de grossesse, n'interrompez pas brutalement votre traitement et contactez immédiatement votre médecin. Votre médecin envisagera un arrêt du traitement ou jugera de l'utilité éventuelle de poursuivre le traitement en l'absence d'alternative moins à risque pour l'enfant à"", ""## 5. COMMENT CONSERVER GADOVIST 1,0 mmol/mL, solution injectable en seringue préremplie ?\n\nTenir hors de la vue et de la portée des enfants.\n\n## Date de péremption\n\nN'utilisez pas ce médicament après la date de péremption indiquée sur l'étiquette et sur l'étui en carton après « EXP ». La date de péremption fait référence au dernier jour du mois. Ce médicament ne requiert pas de conditions particulières de stockage."", ""En signalant les effets indésirables, vous contribuez à fournir davantage d'informations sur la sécurité du médicament.\n\n## 5. COMMENT CONSERVER SUFENTA 10 microgrammes/2 ml, solution injectable (I.V. ou péridurale) ?\n\nTenir ce médicament hors de la vue et de la portée des enfants.\n\nN'utilisez pas ce médicament après la date de péremption indiquée sur l'étiquette après EXP.\n\nLa date de péremption fait référence au dernier jour de ce mois."", ""En signalant les effets indésirables, vous contribuez à fournir d'avantage d'informations sur la sécurité du médicament.\n\n## 5. COMMENT CONSERVER EAU OXYGENEE GIFRER 10 VOLUMES, solution pour application cutanée ?\n\nTenir ce médicament hors de la vue et de la portée des enfants.\n\n## Date de péremption\n\nN'utilisez pas ce médicament après la date de péremption indiquée sur la boîte ou sur le récipient unidose après {EXP}. La date de péremption fait référence au dernier jour de ce mois.""]",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,"les effets indésirables possible de forlax 4g chez l'enfant sont: Douleurs abdominales, Diarrhée , Vomissements, Ballonnements, Nausée, Réactions d'hypersensibilité",0.0,0.0,0.0,1.0,0.06838506941096155,0.2735402776438462,Q10
